  Age Group  ,  Gender  ,Which category of apps do you use MOST daily?  ,Average daily smartphone usage (in minutes)  ,  Most used app platform  ,  Average sleep duration per night (hours)  ,  Daily study/work hours  ,  Stress level due to smartphone usage  ,  How productive do you feel during the day?  ,  Overall productivity level  , Does smartphone usage affect your productivity?  
21–23,Male,"Education (Coursera, YouTube Learning)",499.815060271176,YouTube,6.242436811644566,6.414615639342542,6.668887098968393,6.716070695299123,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.3357825127303,Games,7.503033792525742,1.753490531672651,4.9325035958200685,5.922882561766437,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",200.41079365720617,Instagram,5.668704731618524,3.6778982650388383,8.29964167964694,4.736283665602597,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.3443490065752,Instagram,8.751595521925116,0.2673374917081479,1.5683272395686865,1.6470253484413526,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",500.4249314834069,YouTube,5.756612382226967,5.753256456087566,6.761432605387535,7.526751534418779,Medium,Negatively
18–20,Male,Mixed Usage,600.1163595825183,YouTube,6.862925449748369,5.136722162455991,7.978997182320771,6.776339474110341,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.39076133981172,Instagram,8.335445556932985,0.9062644459475128,-0.0858973955663626,2.1176619661380736,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",443.8141430164258,YouTube,4.021033739210612,6.383142712810006,6.250929831351186,3.944061731644968,High,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.6447399140454,Instagram,4.839808102615393,3.2276311129903354,7.097282083130533,2.917845677269775,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.7866589664619,Instagram,5.505095001588108,3.827390096516265,8.066470273663693,3.330356034948625,Low,Negatively
18–20,Male,Mixed Usage,420.31748906681446,YouTube,8.92157288167986,2.746222419988509,6.435720914780895,5.228574309433276,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",300.082132507779,Netflix,4.553347447233648,4.59764308776267,6.420615095932008,5.3114780671513495,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",499.4429873182141,YouTube,6.05604308316186,6.21155233746677,6.4629587072769406,6.704529979579912,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.93810423570412,Instagram,7.583531277937042,1.5330692055205324,0.9692874582307348,0.9443674307125784,Medium,Positively
21–23,Female,"Entertainment (Netflix, Games)",299.6124338072502,Netflix,5.617093176291907,3.716167323401148,7.090780699916146,3.965460364444181,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",459.1828373173468,Educational Apps,4.728182019112434,9.255645751900794,8.418864473458408,7.722890037930519,High,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.9307330266307,YouTube,6.399798558844184,7.632823399905889,3.9686058406418527,8.361305087131603,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.2786662703497,YouTube,3.882190709999591,5.844362777526548,6.3591644602878725,3.7134742563549663,High,Negatively
21–23,Female,"Entertainment (Netflix, Games)",299.61449294506457,Netflix,4.00187731690545,4.523493434453358,6.264901653745074,4.8475401522284285,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",443.4202668135437,YouTube,4.403152419450353,6.251096303559067,5.610989328593228,3.782725191064225,High,Negatively
21–23,Female,"Entertainment (Netflix, Games)",300.6502807386816,Netflix,5.154751059460787,3.477848965721252,7.883441222507632,4.998414620538106,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",201.32070329347872,Instagram,4.75619433619899,4.013146956985933,8.758267650258306,3.4832851555729984,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.386459225574,Games,8.162851235240025,2.1039505426781515,3.940318778320501,6.010855557900037,Medium,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",548.9106181737536,Instagram,5.176110861764173,3.039391964239669,8.172990897392033,3.1010572351616443,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.8829104183511,Instagram,4.64337280751778,4.267608682260521,8.376897352225495,3.774225679700735,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.5015161822782,Games,8.044058313221536,1.5163244280973065,4.302049679787213,6.285872069543401,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",443.7738076931952,YouTube,3.859615492148637,5.897671515006311,6.2053021378497695,3.486943057323457,High,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",443.5221265329394,YouTube,4.049148855238268,6.111354445041314,6.370107384188482,4.309927954250093,High,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.9457422007637,Educational Apps,4.231116953395103,7.750369280481202,7.4326057882697185,8.028255119303216,High,Positively
18–20,Male,Mixed Usage,421.0650073541517,YouTube,9.11490426130888,3.608021425182521,4.674658968511626,6.30676099275087,Medium,Negatively
18–20,Male,Mixed Usage,420.357957984788,YouTube,9.112793463212746,3.01689435444027,4.295112481694689,5.192456524799055,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.4880971495279,YouTube,6.300887472015392,7.638718098228131,5.796922011307445,8.269900480782644,Medium,Positively
18–20,Male,Mixed Usage,420.5880662437662,YouTube,8.01462445801092,3.214343675107112,5.265402449815393,5.4534532084627365,Medium,Negatively
18–20,Male,Mixed Usage,599.9273436427118,YouTube,5.041113619628417,6.465442343651895,7.0790894986671455,6.456160433633015,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.27336479497694,Games,7.791016657741363,2.581555120329699,3.2794762043343644,6.118784038553719,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.8734643441019,YouTube,5.919761076681659,7.731536494131966,5.053332688276743,8.369478316883978,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",445.085482226569,YouTube,4.005900706123741,6.43537871318082,5.578354281483492,5.046343439539332,High,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.66653279529413,Games,8.252177364085354,1.6901887895680263,3.8412718326273647,6.10212887880321,Medium,Positively
18–20,Male,Mixed Usage,600.7957210241921,YouTube,6.879670323514282,5.830300294226664,8.471787171614059,6.965418090033031,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.1873360867268,Instagram,4.764977922275067,2.586547579418986,7.884264282300377,2.594406529757349,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.383816563754,Instagram,4.383529847113727,4.08058307297413,8.60937566731246,4.533113878319156,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.95525194778864,Instagram,7.662081789627657,0.2336597126956463,2.306157536927432,0.4138715725826528,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.9951435698805,YouTube,5.8275553496173735,7.889987302797357,4.500965260579084,8.015471185154635,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.6474388930635,Instagram,5.426755289967827,4.204861478061476,7.194748676880117,3.613749128354525,Low,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.57782610779856,YouTube,6.444798432790047,5.776059017355329,6.237180238483656,7.237966748480839,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.30798197478674,YouTube,5.866345367187467,6.304370381492864,6.916653325122433,6.973187504176702,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.69700205729845,Instagram,8.190919055445281,0.6126017534107598,1.0135846839230127,1.1640123921136627,Medium,Positively
18–20,Male,Mixed Usage,419.8553062116615,YouTube,9.70929293167985,4.09217884130374,4.583452726855757,6.182389995580612,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",443.0335696924556,YouTube,3.609403086021016,6.116162233878223,5.869277138117594,5.159562332786607,High,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.7217250546126,Games,7.598629970717148,1.3085379446375778,4.58304167116247,6.099259703916539,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",500.5749219185546,YouTube,6.598413566391313,5.881322639973669,7.152808521352644,7.555586636620366,Medium,Negatively
18–20,Male,Mixed Usage,419.2888980944875,YouTube,9.756687167084518,4.009383216169352,4.360383278569767,6.13882364957696,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.3661283248657,YouTube,5.692916860251517,6.942360838923173,4.97539901099871,8.14603626891011,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.74639865599306,Games,8.799451515802877,1.838435469992326,2.9180552853989106,6.117056743435402,Medium,Positively
21–23,Female,"Entertainment (Netflix, Games)",299.8718853506564,Netflix,4.762032120330081,3.718361432151349,7.445642024152686,5.260152456479685,Medium,Positively
18–20,Male,Mixed Usage,599.7493117479543,YouTube,6.503085441753042,6.014581765416131,7.150937111250835,7.101549709231528,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",200.2501860163479,Instagram,4.670016928584101,4.276034551031276,8.464176463515871,3.9853288379827903,Low,Negatively
18–20,Male,Mixed Usage,419.337310227782,YouTube,8.88005412653938,4.196057526655753,4.599553668027316,6.93346205187165,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.1179890279562,Educational Apps,4.309253615472109,7.904733698283487,8.331349139330218,8.130277681867815,High,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",460.6934742119781,Educational Apps,5.542089362555653,8.143675363309766,6.24253409637558,8.596702763421213,High,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",443.265644069701,YouTube,4.026295550930726,5.006587880317333,5.238017656003202,4.319808060535691,High,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.3584426427342,YouTube,4.908646379946353,5.641553543833972,7.822410610094978,7.209463626657357,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.20147855773234,YouTube,6.426778420783397,6.637316484320429,6.682171775746135,7.277566985395267,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",348.8470442814564,Games,8.178160336118502,2.1752639972942105,4.391138737246544,6.438143476009053,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",459.74917154880825,Educational Apps,4.47427825118904,8.818212493457668,7.445265755052732,7.613182454274348,High,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.8847727104726,YouTube,5.833474027657446,6.144580197375823,5.539087206547932,8.188073803708889,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.92139555192517,Instagram,7.036266145958683,1.1467397297713358,1.3372642440001774,1.1562200753385257,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.61340016822905,Instagram,4.8943823800211455,4.261890220190487,7.490587563083909,4.964499751341052,Low,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",501.4414549902431,YouTube,6.557165014296561,4.846311195134896,6.419542105647252,6.8667038834614,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.3159633402141,YouTube,6.674935143318059,7.249476379564673,5.381519159551916,8.789124931582794,Medium,Positively
18–20,Male,Mixed Usage,419.34926409610296,YouTube,9.631644587997442,4.084031118827447,5.248032781076634,5.394539734682839,Medium,Negatively
18–20,Male,Mixed Usage,600.0912457900369,YouTube,6.41193613230464,6.315080506926666,8.278169796495114,6.690982593101975,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",240.22858967326096,Instagram,8.030719906253355,1.5543734892671013,1.813325277616891,1.2474500843530196,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",500.2819235813195,YouTube,5.239727202579138,6.226221538182893,8.21137280592141,7.222960879054332,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.05445058257504,YouTube,6.071012962773082,6.533248308225699,7.254779731917932,7.971056953853651,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",198.8883286426841,Instagram,4.194274290920161,4.027980857235961,7.7573893439728785,4.585429622327637,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.7867149732953,Games,8.209241406404145,1.8767103559163465,4.029968274196078,6.246272904246462,Medium,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.2504961108834,Instagram,5.21500762933245,3.4606031118098,7.650340835642235,3.3161102486657583,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.0677194990663,Games,8.255977736753996,1.4989299586950278,5.441196567401078,6.839988605680257,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.46902341622587,Games,8.283875300452337,2.257362440340544,4.831349433984199,7.125049348121488,Medium,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",549.7913956225251,Instagram,4.815822474717359,3.1929149038741635,7.878782653581152,2.827205823014579,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",443.3058308424482,YouTube,4.631574596418022,5.604599638920776,6.497358383527225,5.263299395023089,High,Negatively
18–20,Male,Mixed Usage,599.2734621164583,YouTube,6.79997221428462,6.849602575381965,8.282975700997255,7.762829718341186,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",444.3356374980297,YouTube,3.924235754604742,6.081637185424001,5.708012436990068,4.279094956929603,High,Negatively
18–20,Male,Mixed Usage,599.2702314983898,YouTube,5.457012315700508,5.4077948886033385,8.319469543008061,7.5714345168075825,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.900698115228,YouTube,6.649850448317196,6.5954734242984046,7.531267259224986,6.656063971061136,Medium,Negatively
18–20,Male,Mixed Usage,600.5399167703482,YouTube,5.7852130481471455,5.881888826026984,8.221774636595317,7.272899996022122,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",299.1422066019552,Netflix,5.215530254071114,4.1612535087228,7.855810548411963,5.0856192202258566,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.83404587149408,Instagram,7.6125463883210305,1.3355827959662545,1.4445067987984352,1.223697364604361,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.33663736350127,YouTube,3.4213087551856165,6.304689740086823,6.456203090331851,4.37692216742154,High,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.54818909969526,Games,7.758861523811261,1.4769404629939649,4.195300598075288,6.263417909198184,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.562523792214,YouTube,6.546751824492587,7.273391656210139,4.418069733864283,8.486947254542454,Medium,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",549.212566084664,Instagram,5.62970772167717,3.142355569647444,7.5891342163459905,2.7595744306397365,Medium,Negatively
18–20,Male,Mixed Usage,599.415828247712,YouTube,6.554600393186815,6.21519223789058,7.008922409409302,7.283966916206726,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",459.89253268458543,Educational Apps,4.78537600413701,7.396607313759258,7.002778126083867,7.262793858140196,High,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.8212692418111,Instagram,5.25455376869408,3.8538525321360586,7.618152840854879,2.2986892238800203,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",200.22237885785543,Instagram,5.039717850207762,4.107453704591828,7.580493328798492,3.4314392508653486,Low,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",459.1722183510865,Educational Apps,4.917058934790902,8.41817763675165,6.7465442384292,8.076269512564158,High,Positively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.0965361423105,Instagram,4.943565692261623,3.2618347693119945,6.941008884490651,3.314125663278805,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.8443469269738,YouTube,6.005231051841927,6.17780110422066,7.023868969302446,6.713481672801218,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",549.9702439190727,Instagram,5.357373934238368,2.747697874172865,8.64097332785602,3.342780871713142,Medium,Negatively
18–20,Male,Mixed Usage,600.5451940867537,YouTube,5.827591351061527,5.962850394139741,8.154917475947203,7.309894801618415,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.99127417466357,Instagram,8.105642994349063,1.1229449897678612,0.3142187833659402,1.4212439361709956,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.1049118011322,YouTube,6.874231799730809,6.76946706277726,4.909343731209603,7.858197171473742,Medium,Positively
18–20,Male,Mixed Usage,419.67946871305367,YouTube,9.475849776032566,5.035294696904071,5.091569407254635,5.82444734676922,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.5035556356678,Instagram,4.728898944992922,2.8784729527087944,7.958858186444761,2.612043658232209,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.9310619748889,Games,7.765432948100334,1.3663675362205547,3.426717023617482,5.945788817001412,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",460.3318844030978,Educational Apps,3.913485348367491,8.699208494778883,6.690569532955647,7.899992596872801,High,Positively
21–23,Female,"Entertainment (Netflix, Games)",300.163809876342,Netflix,4.812531385479917,3.721469077204324,6.420079130318717,4.719528273262771,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.42203661942912,Instagram,8.776139170715638,0.5032190341284744,1.9426333272065357,1.529534821578662,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",549.7626719157372,YouTube,5.754750413899979,7.618167894960842,4.534541905408023,8.777146080198396,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.8763411781589,Games,7.981657207926324,2.0492711451200334,3.494867552691188,6.1616873581349845,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.0371037677584,Games,8.12689816532815,1.8587174149319008,4.338092972677277,6.016696674655201,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",501.0726190672796,YouTube,6.391093736609012,6.36201491289544,7.193540977289532,7.386146731220368,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",443.32839747236216,YouTube,3.6638975896702046,6.696659949403223,6.189907806499486,4.414890796952642,High,Negatively
18–20,Male,Mixed Usage,599.6059452109024,YouTube,6.57448350302496,5.234955378338873,7.28613232278476,7.666214668901826,Medium,Negatively
18–20,Male,Mixed Usage,420.162801740978,YouTube,9.298725542757166,3.528330328020182,4.782991788006883,6.072461499609185,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.3974179551095,Educational Apps,5.072762554786294,7.724039547939991,8.152031591385507,9.006368488548286,High,Positively
18–20,Male,Mixed Usage,419.9472172919941,YouTube,9.172425181167103,4.234691659496794,5.580839825821316,5.849708152592564,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",349.1462637121486,Games,8.142975772737792,1.8298927109424377,4.446823446923207,7.244986702704034,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",460.3596572440572,Educational Apps,4.661023314238584,7.949034564753791,7.348339919592761,7.4507995806196545,High,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.3349343055237,Instagram,4.92939363689957,4.068060383478112,8.653583095883489,3.1702110216119426,Low,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",201.13783228568923,Instagram,4.8859051356387,4.8657950606182006,7.64044135937762,3.6821434376356335,Low,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",200.5515585156455,Instagram,5.951934228063674,4.342401324421565,7.690605187627494,4.226107179200178,Low,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",200.9960843854753,Instagram,5.039579775428583,3.5133217645231625,8.34898075065123,3.958994560073489,Low,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.4209260231139,YouTube,6.427389529839528,7.360064867767094,5.117552173317896,8.175553362404145,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",241.16316986583104,Instagram,8.096707860960848,0.7172208236597656,1.1075658680110625,1.2503407589335451,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",443.9842561012654,YouTube,3.642790748708322,5.188677990554703,6.390383713304911,3.910947936322244,High,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.1945061472735,Instagram,4.744840009293228,2.793521660509283,7.333617911364414,3.272383545506146,Medium,Negatively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.7881554083174,Instagram,4.596319570739615,4.0794372384937,8.21884510086185,4.13891742635939,Low,Negatively
18–20,Male,Mixed Usage,600.8789372390769,YouTube,6.963824356615734,5.680225755805036,7.759805941301917,7.50884253339121,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",239.0088533675678,Instagram,7.140074537053811,0.7154848473280297,1.5540156966194183,0.7359626318813104,Medium,Positively
18–20,Male,"Education (Coursera, YouTube Learning)",444.3440604713425,YouTube,3.760290046675868,5.916205435405591,6.0206444728618855,3.32875465631263,High,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",500.1718855286041,YouTube,5.57351483518569,5.712797150265785,7.494048780826676,6.887335627818672,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",300.28377082792525,Netflix,5.4467441679515245,2.8042319760428605,6.822190277930061,4.955706817043816,Medium,Positively
21–23,Male,"Education (Coursera, YouTube Learning)",499.8742117770201,YouTube,6.089959786693728,5.741881298378942,6.88151429967984,7.706541444572928,Medium,Negatively
21–23,Female,"Entertainment (Netflix, Games)",299.80541903666204,Netflix,4.865169732156447,3.516891104029437,6.8039855143000745,5.294448755619824,Medium,Positively
18–20,Male,Mixed Usage,420.3502335253983,YouTube,9.102929326381568,4.328507270088095,5.296292997818177,5.842914450733777,Medium,Negatively
21–23,Male,"Education (Coursera, YouTube Learning)",499.4074646701984,YouTube,6.36240101569953,6.626584678849925,7.18391579990412,7.16053193904208,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",443.0245817614817,YouTube,3.942733750941736,5.807915190699338,5.765972009188574,4.221460279874451,High,Negatively
18–20,Male,Mixed Usage,599.8815236119324,YouTube,7.159184262144706,5.8516537838626,8.71923178397767,7.252996936293067,Medium,Negatively
24–26,Female,"Social Media (Instagram, WhatsApp)",550.7644932477771,Instagram,5.619115768698766,3.22819724144798,7.977042562396146,2.301188685197576,Medium,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",350.5950629857075,Games,6.4771625983515255,1.8069755350955463,3.194042026694208,5.602192374112625,Medium,Positively
18–20,Male,"Social Media (Instagram, WhatsApp)",199.2583280556925,Instagram,4.8693759847757,4.192739918973408,7.886886705124439,3.641809178342058,Low,Negatively
18–20,Male,Mixed Usage,600.3085413440673,YouTube,5.715958542914025,5.925424473486762,7.867095170728681,6.748931021284469,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",460.2183182350727,Educational Apps,5.243414229606015,7.197491919631341,7.014522528613331,8.047148241286768,High,Positively
18–20,Male,Mixed Usage,419.4042231946272,YouTube,9.080477329000908,4.252851413058608,5.016046684005389,6.17873289784815,Medium,Negatively
18–20,Male,Mixed Usage,600.3993084820078,YouTube,6.351359615775088,6.728153003531146,7.425995135544002,7.521011260734097,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",444.0205081805589,YouTube,3.0867691877052224,5.9279686521590325,6.497427287459808,3.3072611815632458,High,Negatively
18–20,Male,Mixed Usage,599.473612501683,YouTube,6.35769708077133,5.1656451021165,7.76913663534997,7.369570800312216,Medium,Negatively
18–20,Male,"Education (Coursera, YouTube Learning)",444.3491409790391,YouTube,4.129412888908573,5.713324911444524,6.0904092167002535,3.3814486598330378,High,Negatively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.4813733844242,YouTube,5.319555690149378,6.481345458178804,4.69293156896009,6.884574657570941,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",550.4558145534863,YouTube,6.264577840350753,7.536510046390735,5.65747864983261,8.3282132828421,Medium,Positively
21–23,Male,"Social Media (Instagram, WhatsApp)",241.0632640715036,Instagram,8.172292292505675,0.9979230262826976,1.55085817038976,0.8864747648292792,Medium,Positively
